name,latitude,longitude
Preston,42.05030,-90.41402
Primghar,43.08692,-95.62723
Princeton,41.67475,-90.34041
Promise City,40.74751,-93.14715
Protivin,43.21643,-92.08914
Pulaski,40.69697,-92.27324
Quasqueton,42.39443,-91.76100
Quimby,42.63026,-95.64195
Radcliffe,42.31526,-93.43438
Rake,43.48384,-93.91884
Ralston,42.04177,-94.62930
Randalia,42.86304,-91.88572
Randall,42.23832,-93.60077
Randolph,40.87305,-95.56639
Rathbun,40.80112,-92.88881
Raymond,42.46888,-92.21963
Readlyn,42.70221,-92.22546
Reasnor,41.57833,-93.02325
Redding,40.60471,-94.38774
Redfield,41.58943,-94.19607
Red Oak,41.00972,-95.22555
Reinbeck,42.32360,-92.59936
Rembrandt,42.82553,-95.16638
Remsen,42.81471,-95.97335
Renwick,42.82803,-93.98106
Rhodes,41.92554,-93.18631
Riceville,43.36248,-92.55331
Richland,41.18557,-91.99295
Rickardsville,42.58333,-90.88402
Ricketts,42.12693,-95.57500
Ridgeway,43.29775,-91.98766
Rinard,42.33970,-94.48858
Ringsted,43.29468,-94.51164
Rippey,41.93387,-94.20135
Riverdale,41.54448,-90.45819
Riverside,41.47974,-91.58128
River Sioux,41.80582,-96.04640
Riverton,40.68695,-95.56860
Robins,42.07111,-91.66684
Rochester,41.67391,-91.15849
Rock Falls,43.20747,-93.08465
Rockford,43.05219,-92.94853
Rock Rapids,43.42719,-96.17586
Rock Valley,43.20526,-96.29503
Rockwell,42.98524,-93.19187
Rockwell City,42.39526,-94.63387
Rodman,43.02858,-94.53109
Rodney,42.20555,-95.95251
Roland,42.16637,-93.50188
Rolfe,42.81275,-94.52692
Rome,40.98141,-91.68239
Rose Hill,41.32195,-92.46213
Roseville,43.00914,-92.80992
Rossie,43.01331,-95.18861
Rowan,42.74081,-93.55271
Rowley,42.36999,-91.84406
Royal,43.06553,-95.28389
Rudd,43.12608,-92.90575
Runnells,41.51110,-93.35743
Russell,40.98195,-93.19854
Ruthven,43.12913,-94.89915
Rutland,42.75914,-94.29774
Ryan,42.35138,-91.48155
Sabula,42.07113,-90.17402
Sac City,42.42220,-94.98971
Sageville,42.55278,-90.70902
Salem,40.85281,-91.62016
Salix,42.30833,-96.28780
Sanborn,43.18164,-95.65557
Sandyville,41.37083,-93.38632
Saylorville,41.67860,-93.62966
Scarville,43.47051,-93.61772
Schaller,42.49970,-95.29305
Schleswig,42.16527,-95.43694
Scranton,42.02248,-94.54525
Searsboro,41.58055,-92.70352
Sergeant Bluff,42.40388,-96.35864
Sexton,43.08274,-94.08912
Seymour,40.68251,-93.12104
Shambaugh,40.65888,-95.03192
Shannon City,40.89875,-94.26365
Sharpsburg,40.80249,-94.64247
Sheffield,42.89330,-93.21520
Shelby,41.50667,-95.45056
Sheldahl,41.86427,-93.69664
Sheldon,43.17960,-95.84411
Shell Rock,42.71026,-92.58297
Shellsburg,42.09444,-91.86935
Shenandoah,40.75830,-95.37206
Sherrill,42.60389,-90.78457
Shueyville,41.85056,-91.64656
Sibley,43.39914,-95.75196
Sidney,40.74833,-95.64750
Sigourney,41.33334,-92.20463
Silver City,41.11333,-95.63723
Sioux Center,43.07971,-96.17558
Sioux City,42.49567,-96.39053
Sioux Rapids,42.89331,-95.15111
Slater,41.87776,-93.67855
Sloan,42.23277,-96.22808
Smithland,42.22916,-95.93084
Soldier,41.98527,-95.77945
Solon,41.80723,-91.49406
Somers,42.37831,-94.42997
South Amana,41.77612,-91.96740
